category,discounted_price,actual_price,profit_margin,rating,rating_count,total_rating_value,avg_discounted_price,avg_actual_price,avg_rating
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,10389.0,32000.0,21611.0,4.4,41398,182151.2,0.25095415237451085,0.7729842021353689,4.4
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,6686.0,16600.0,9914.0,4.26,774744,3320744.8,0.008629947440702994,0.02142643247317824,4.286247844449263
Computers&Accessories|Laptops|TraditionalLaptops,37247.0,59890.0,22643.0,4.0,323,1292.0,115.3157894736842,185.41795665634675,4.0
Computers&Accessories|Monitors,16398.0,32860.0,16462.0,4.25,4637,19737.7,3.536338149665732,7.0864783265042055,4.2565667457407805
Computers&Accessories|NetworkingDevices,1199.0,3490.0,2291.0,4.1,11716,48035.6,0.10233868214407647,0.29788323659952204,4.1
Computers&Accessories|NetworkingDevices|DataCards&Dongles,2099.0,3250.0,1151.0,3.8,11213,42609.4,0.18719343619013645,0.28984214750735754,3.8000000000000003
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,599.0,899.0,300.0,4.3,95116,408998.8,0.006297573489213172,0.009451616972959334,4.3
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,1199.0,1999.0,800.0,4.5,22420,100890.0,0.05347903657448706,0.0891614629794826,4.5
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,12998.0,24992.0,11994.0,4.094444444444445,727113,3063725.9000000004,0.017876176055166115,0.034371548851416495,4.213548513092189
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,4957.0,11597.0,6640.0,4.2,222371,933958.2,0.02229157579000859,0.052151584514167765,4.2
Computers&Accessories|NetworkingDevices|Routers,14637.0,26804.0,12167.0,4.2555555555555555,311801,1325044.1,0.046943403003838986,0.08596508670594386,4.249646729805229
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",2450.0,2749.0,299.0,4.25,23599,100042.6,0.10381795838806729,0.11648798677910081,4.2392728505445145
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",549.0,1999.0,1450.0,4.3,1367,5878.099999999999,0.401609363569861,1.4623262618873445,4.3
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",598.0,1150.0,552.0,4.1,2535,10393.5,0.2358974358974359,0.4536489151873767,4.1
"Computers&Accessories|Printers,Inks&Accessories|Printers",15197.0,17692.96,2495.96,3.6666666666666665,34241,123575.4,0.44382465465377763,0.5167185537805554,3.608989223445577
